trial,rider,path,path_time,path_end_time,n_orders,delta_mean,delta_min,delta_max
trial 18,rider 3,path 1,27,38,1,-14.0,-14,-14
trial 18,rider 3,path 2,51,97,4,0.75,-17,14
trial 19,rider 1,path 1,9,26,1,-23.0,-23,-23
trial 19,rider 1,path 2,46,77,4,-3.0,-17,19
trial 19,rider 2,path 1,15,31,1,-20.0,-20,-20
trial 19,rider 2,path 2,26,69,2,-12.5,-17,-8
trial 19,rider 2,path 3,42,112,3,13.0,0,24
trial 19,rider 3,path 1,17,33,1,-19.0,-19,-19
trial 19,rider 3,path 2,29,74,1,-13.0,-13,-13
trial 20,rider 1,path 1,17,24,1,-19.0,-19,-19
trial 20,rider 1,path 2,22,47,2,-15.5,-19,-12
trial 20,rider 1,path 3,17,70,1,-19.0,-19,-19
trial 20,rider 1,path 4,21,92,1,-10.0,-10,-10
trial 20,rider 2,path 1,21,47,2,-17.0,-20,-14
trial 20,rider 2,path 2,33,91,2,-10.5,-14,-7
trial 20,rider 3,path 1,25,34,1,-15.0,-15,-15
trial 20,rider 3,path 2,36,82,3,-10.0,-21,1
trial 21,rider 1,path 1,9,15,1,-23.0,-23,-23
trial 21,rider 1,path 2,24,43,2,-14.5,-19,-10
trial 21,rider 1,path 3,20,69,2,-16.5,-21,-12
trial 21,rider 1,path 4,23,93,1,-9.0,-9,-9
trial 21,rider 2,path 1,28,39,2,-9.0,-12,-6
trial 21,rider 2,path 2,23,74,1,-16.0,-16,-16
trial 21,rider 3,path 1,25,36,1,-15.0,-15,-15
trial 21,rider 3,path 2,34,71,3,-5.0,-12,7
trial 22,rider 1,path 1,15,34,1,-20.0,-20,-20
trial 22,rider 1,path 2,45,83,4,-1.25,-19,10
trial 22,rider 2,path 1,23,46,1,-16.0,-16,-16
trial 22,rider 2,path 2,47,98,4,-3.25,-18,12
trial 22,rider 3,path 1,7,12,1,-24.0,-24,-24
trial 22,rider 3,path 2,31,55,1,-12.0,-12,-12
trial 22,rider 3,path 3,25,85,1,-15.0,-15,-15
trial 23,rider 1,path 1,18,33,2,-18.5,-21,-16
trial 23,rider 1,path 2,32,84,3,-11.333333333333334,-19,-3
trial 23,rider 2,path 1,17,23,1,-19.0,-19,-19
trial 23,rider 2,path 2,21,45,1,-17.0,-17,-17
trial 23,rider 2,path 3,25,76,1,-15.0,-15,-15
trial 23,rider 3,path 1,25,30,1,-15.0,-15,-15
trial 23,rider 3,path 2,27,73,1,-14.0,-14,-14
trial 23,rider 3,path 3,40,114,3,3.0,-6,14
trial 24,rider 1,path 1,9,15,1,-22.0,-22,-22
trial 24,rider 1,path 2,54,71,5,-0.6,-19,17
trial 24,rider 2,path 1,17,25,1,-19.0,-19,-19
trial 24,rider 2,path 2,15,44,1,-20.0,-20,-20
trial 24,rider 2,path 3,25,73,2,-15.5,-21,-10
trial 24,rider 3,path 1,25,30,1,-15.0,-15,-15
trial 24,rider 3,path 2,33,73,2,-11.5,-16,-7
trial 25,rider 1,path 1,13,25,1,-21.0,-21,-21
trial 25,rider 1,path 2,23,57,1,-16.0,-16,-16
trial 25,rider 1,path 3,18,76,2,-15.5,-16,-15
trial 25,rider 2,path 1,55,80,6,4.666666666666667,-17,26
trial 25,rider 3,path 1,27,39,1,-14.0,-14,-14
trial 25,rider 3,path 2,21,62,1,-17.0,-17,-17
trial 25,rider 3,path 3,15,79,1,-20.0,-20,-20
trial 26,rider 1,path 1,24,36,2,-16.0,-19,-13
trial 26,rider 1,path 2,20,57,2,-15.5,-16,-15
trial 26,rider 1,path 3,35,93,2,-3.5,-12,5
trial 26,rider 2,path 1,21,30,1,-17.0,-17,-17
trial 26,rider 2,path 2,30,62,3,-4.0,-20,9
trial 26,rider 3,path 1,23,29,1,-16.0,-16,-16
trial 26,rider 3,path 2,21,58,1,3.0,3,3
trial 27,rider 1,path 1,28,43,2,-13.5,-18,-9
trial 27,rider 1,path 2,36,91,3,-9.333333333333334,-18,1
trial 27,rider 2,path 1,25,40,1,-15.0,-15,-15
trial 27,rider 2,path 2,51,92,5,3.0,-10,30
trial 27,rider 3,path 1,29,41,1,-13.0,-13,-13
trial 27,rider 3,path 2,15,61,1,-20.0,-20,-20
trial 28,rider 1,path 1,15,21,1,-20.0,-20,-20
trial 28,rider 1,path 2,37,61,3,-6.666666666666667,-12,3
trial 28,rider 2,path 1,21,28,1,-17.0,-17,-17
trial 28,rider 2,path 2,19,52,1,-18.0,-18,-18
trial 28,rider 2,path 3,45,104,4,-1.75,-18,9
trial 28,rider 3,path 1,23,28,1,-16.0,-16,-16
trial 28,rider 3,path 2,35,75,2,-9.0,-12,-6
trial 29,rider 1,path 1,24,40,2,-15.0,-18,-12
trial 29,rider 1,path 2,28,69,2,-2.5,-15,10
trial 29,rider 2,path 1,23,43,1,-16.0,-16,-16
trial 29,rider 2,path 2,54,111,5,3.2,-11,17
trial 29,rider 3,path 1,27,34,1,-14.0,-14,-14
trial 29,rider 3,path 2,25,68,2,-14.0,-18,-10
trial 30,rider 1,path 1,31,54,3,-10.333333333333334,-20,-3
trial 30,rider 2,path 1,19,31,1,-18.0,-18,-18
trial 30,rider 2,path 2,17,49,1,-19.0,-19,-19
trial 30,rider 2,path 3,44,94,5,-4.6,-27,10
trial 30,rider 3,path 1,19,27,1,-18.0,-18,-18
trial 30,rider 3,path 2,23,55,1,-14.0,-14,-14
trial 30,rider 3,path 3,25,86,1,-15.0,-15,-15
trial 31,rider 1,path 1,54,85,5,1.2,-19,28
trial 31,rider 2,path 1,23,35,1,-16.0,-16,-16
trial 31,rider 2,path 2,17,66,1,-19.0,-19,-19
trial 31,rider 3,path 1,25,36,1,-15.0,-15,-15
trial 31,rider 3,path 2,48,108,5,-4.0,-23,17
trial 32,rider 1,path 1,13,40,1,-21.0,-21,-21
trial 32,rider 1,path 2,35,76,4,-9.0,-17,1
trial 32,rider 2,path 1,17,43,1,-19.0,-19,-19
trial 32,rider 2,path 2,21,69,1,-17.0,-17,-17
trial 32,rider 3,path 1,29,50,1,-13.0,-13,-13
trial 32,rider 3,path 2,53,114,5,2.8,-18,18
trial 33,rider 1,path 1,13,23,1,-21.0,-21,-21
trial 33,rider 1,path 2,43,67,4,-1.5,-17,13
trial 33,rider 2,path 1,21,33,1,-17.0,-17,-17
trial 33,rider 2,path 2,30,67,2,-13.0,-16,-10
trial 33,rider 3,path 1,25,32,1,-15.0,-15,-15
