trial,rider,path,path_time,n_orders,delta_mean,delta_min,delta_max
trial 183,rider 3,path 2,36,3,-3.0,-20,10
trial 184,rider 1,path 1,27,2,-14.0,-17,-11
trial 184,rider 1,path 2,25,1,-15.0,-15,-15
trial 184,rider 2,path 1,17,1,-19.0,-19,-19
trial 184,rider 2,path 2,30,2,-12.5,-17,-8
trial 184,rider 2,path 3,58,5,8.4,-4,24
trial 184,rider 3,path 1,27,1,-14.0,-14,-14
trial 184,rider 3,path 2,27,1,-14.0,-14,-14
trial 185,rider 1,path 1,15,1,-20.0,-20,-20
trial 185,rider 1,path 2,49,5,-2.4,-19,18
trial 185,rider 2,path 1,23,1,-16.0,-16,-16
trial 185,rider 2,path 2,37,3,-7.666666666666667,-17,5
trial 185,rider 3,path 1,25,1,-15.0,-15,-15
trial 185,rider 3,path 2,25,1,-15.0,-15,-15
trial 185,rider 3,path 3,17,1,-13.0,-13,-13
trial 186,rider 1,path 1,15,1,-20.0,-20,-20
trial 186,rider 1,path 2,13,1,-21.0,-21,-21
trial 186,rider 1,path 3,43,3,-6.0,-12,4
trial 186,rider 2,path 1,19,1,-18.0,-18,-18
trial 186,rider 2,path 2,29,2,-12.0,-15,-9
trial 186,rider 3,path 1,23,1,-16.0,-16,-16
trial 186,rider 3,path 2,9,1,-23.0,-23,-23
trial 186,rider 3,path 3,17,1,-18.0,-18,-18
trial 186,rider 3,path 4,30,2,-8.5,-14,-3
trial 187,rider 1,path 1,19,1,-18.0,-18,-18
trial 187,rider 1,path 2,15,1,-20.0,-20,-20
trial 187,rider 2,path 1,17,1,-19.0,-19,-19
trial 187,rider 2,path 2,17,1,-19.0,-19,-19
trial 187,rider 2,path 3,17,1,-19.0,-19,-19
trial 187,rider 3,path 1,23,1,-16.0,-16,-16
trial 187,rider 3,path 2,61,7,8.0,-14,25
trial 188,rider 1,path 1,13,1,-21.0,-21,-21
trial 188,rider 1,path 2,32,3,-10.333333333333334,-17,-4
trial 188,rider 1,path 3,9,1,-21.0,-21,-21
trial 188,rider 2,path 1,19,1,-18.0,-18,-18
trial 188,rider 2,path 2,34,3,-10.0,-15,-3
trial 188,rider 3,path 1,15,1,-20.0,-20,-20
trial 188,rider 3,path 2,23,1,-16.0,-16,-16
trial 188,rider 3,path 3,30,2,-11.5,-13,-10
trial 189,rider 1,path 1,40,3,-6.666666666666667,-16,0
trial 189,rider 1,path 2,23,1,-16.0,-16,-16
trial 189,rider 2,path 1,27,1,-14.0,-14,-14
trial 189,rider 2,path 2,34,4,-6.25,-15,6
trial 189,rider 3,path 1,17,1,-19.0,-19,-19
trial 189,rider 3,path 2,35,3,-5.666666666666667,-14,5
trial 190,rider 1,path 1,19,1,-18.0,-18,-18
trial 190,rider 1,path 2,28,2,-9.0,-11,-7
trial 190,rider 2,path 1,27,1,-14.0,-14,-14
trial 190,rider 2,path 2,31,3,-5.0,-12,7
trial 190,rider 3,path 1,25,1,-15.0,-15,-15
trial 190,rider 3,path 2,27,1,-14.0,-14,-14
trial 190,rider 3,path 3,40,4,3.75,-7,13
trial 191,rider 1,path 1,44,4,-0.25,-16,17
trial 191,rider 2,path 1,21,1,-17.0,-17,-17
trial 191,rider 2,path 2,27,1,-14.0,-14,-14
trial 191,rider 3,path 1,19,1,-18.0,-18,-18
trial 191,rider 3,path 2,29,2,-13.5,-18,-9
trial 191,rider 3,path 3,44,4,2.0,-9,15
trial 192,rider 1,path 1,13,1,-21.0,-21,-21
trial 192,rider 1,path 2,11,1,-22.0,-22,-22
trial 192,rider 1,path 3,17,1,-19.0,-19,-19
trial 192,rider 2,path 1,17,2,-23.5,-28,-19
trial 192,rider 2,path 2,15,1,-20.0,-20,-20
trial 192,rider 2,path 3,17,2,-22.5,-27,-18
trial 192,rider 3,path 1,19,1,-18.0,-18,-18
trial 192,rider 3,path 2,13,1,-21.0,-21,-21
trial 192,rider 3,path 3,21,1,-15.0,-15,-15
trial 192,rider 3,path 4,36,2,-9.0,-17,-1
trial 193,rider 1,path 1,19,1,-18.0,-18,-18
trial 193,rider 1,path 2,38,4,-4.75,-14,6
trial 193,rider 2,path 1,25,1,-15.0,-15,-15
trial 193,rider 2,path 2,36,2,-7.5,-11,-4
trial 193,rider 3,path 1,21,1,-17.0,-17,-17
trial 193,rider 3,path 2,36,2,-8.5,-12,-5
trial 193,rider 3,path 3,28,2,-4.5,-9,0
trial 194,rider 1,path 1,31,2,-13.0,-17,-9
trial 194,rider 1,path 2,20,2,-12.5,-16,-9
trial 194,rider 2,path 1,25,1,-15.0,-15,-15
trial 194,rider 2,path 2,17,1,-19.0,-19,-19
trial 194,rider 2,path 3,29,1,-13.0,-13,-13
trial 194,rider 3,path 1,23,1,-16.0,-16,-16
trial 194,rider 3,path 2,50,5,-1.0,-20,14
trial 195,rider 1,path 1,21,1,-17.0,-17,-17
trial 195,rider 1,path 2,41,3,-9.666666666666666,-18,-1
trial 195,rider 2,path 1,32,2,-12.5,-19,-6
trial 195,rider 2,path 2,54,4,3.25,-16,26
trial 195,rider 3,path 1,23,1,-16.0,-16,-16
trial 195,rider 3,path 2,25,1,-15.0,-15,-15
trial 195,rider 3,path 3,13,1,-21.0,-21,-21
trial 196,rider 1,path 1,19,1,-18.0,-18,-18
trial 196,rider 1,path 2,49,6,-9.0,-28,15
trial 196,rider 2,path 1,33,2,-10.0,-14,-6
trial 196,rider 2,path 2,29,2,-12.0,-17,-7
trial 196,rider 3,path 1,31,1,-12.0,-12,-12
trial 196,rider 3,path 2,23,1,-16.0,-16,-16
trial 197,rider 1,path 1,15,1,-20.0,-20,-20
trial 197,rider 1,path 2,19,1,-18.0,-18,-18
trial 197,rider 1,path 3,29,2,-3.0,-11,5
trial 197,rider 2,path 1,25,1,-15.0,-15,-15
trial 197,rider 2,path 2,27,1,-14.0,-14,-14
trial 197,rider 3,path 1,21,1,-17.0,-17,-17
trial 197,rider 3,path 2,54,6,0.5,-15,24
trial 198,rider 1,path 1,44,3,-6.666666666666667,-22,9
trial 198,rider 2,path 1,23,1,-16.0,-16,-16
trial 198,rider 2,path 2,43,5,-13.6,-26,5
trial 198,rider 3,path 1,21,1,-17.0,-17,-17
trial 198,rider 3,path 2,19,1,-12.0,-12,-12
trial 198,rider 3,path 3,21,2,-17.0,-20,-14
trial 199,rider 1,path 1,17,1,-19.0,-19,-19
trial 199,rider 1,path 2,63,7,2.2857142857142856,-19,30
trial 199,rider 2,path 1,21,1,-17.0,-17,-17
trial 199,rider 2,path 2,19,1,-17.0,-17,-17
trial 199,rider 2,path 3,17,1,-5.0,-5,-5
trial 199,rider 3,path 1,21,1,-17.0,-17,-17
trial 199,rider 3,path 2,21,1,-17.0,-17,-17
trial 200,rider 1,path 1,15,1,-20.0,-20,-20
trial 200,rider 1,path 2,28,2,-10.0,-16,-4
trial 200,rider 1,path 3,13,1,-21.0,-21,-21
trial 200,rider 2,path 1,25,2,-14.0,-16,-12
trial 200,rider 2,path 2,23,1,-16.0,-16,-16
trial 200,rider 3,path 1,23,1,-16.0,-16,-16
trial 200,rider 3,path 2,11,1,-22.0,-22,-22
trial 200,rider 3,path 3,45,4,-0.25,-17,20
trial 201,rider 1,path 1,22,2,-15.5,-21,-10
trial 201,rider 1,path 2,23,1,-16.0,-16,-16
trial 201,rider 2,path 1,19,1,-18.0,-18,-18
trial 201,rider 2,path 2,49,5,-5.2,-30,21
trial 201,rider 3,path 1,29,1,-13.0,-13,-13
trial 201,rider 3,path 2,13,1,-21.0,-21,-21
trial 201,rider 3,path 3,29,2,-14.0,-19,-9
trial 202,rider 1,path 1,17,1,-19.0,-19,-19
trial 202,rider 1,path 2,32,2,-4.5,-13,4
trial 202,rider 2,path 1,21,1,-17.0,-17,-17
trial 202,rider 2,path 2,43,4,-6.5,-21,4
trial 202,rider 3,path 1,21,1,-17.0,-17,-17
trial 202,rider 3,path 2,29,1,-8.0,-8,-8
trial 202,rider 3,path 3,38,3,-1.0,-7,6
trial 203,rider 1,path 1,27,1,-14.0,-14,-14
trial 203,rider 1,path 2,34,2,-7.0,-15,1
trial 203,rider 2,path 1,7,1,-24.0,-24,-24
trial 203,rider 2,path 2,32,2,-9.5,-18,-1
trial 203,rider 2,path 3,28,2,-7.5,-11,-4
trial 203,rider 3,path 1,17,1,-19.0,-19,-19
trial 203,rider 3,path 2,31,2,-11.5,-14,-9
trial 203,rider 3,path 3,31,2,-11.0,-13,-9
trial 204,rider 1,path 1,27,3,-12.0,-19,-7
trial 204,rider 1,path 2,34,2,-13.5,-20,-7
trial 204,rider 2,path 1,11,1,-22.0,-22,-22
trial 204,rider 2,path 2,25,1,-13.0,-13,-13
trial 204,rider 2,path 3,29,2,-9.0,-17,-1
trial 204,rider 3,path 1,23,1,-16.0,-16,-16
trial 204,rider 3,path 2,31,3,-9.333333333333334,-18,-1
trial 205,rider 1,path 1,33,3,-7.0,-16,4
trial 205,rider 2,path 1,9,1,-23.0,-23,-23
trial 205,rider 2,path 2,30,2,-13.5,-18,-9
trial 205,rider 3,path 1,17,1,-19.0,-19,-19
trial 205,rider 3,path 2,25,1,-15.0,-15,-15
trial 205,rider 3,path 3,50,5,3.0,-8,17
trial 206,rider 1,path 1,9,1,-23.0,-23,-23
trial 206,rider 1,path 2,25,2,-13.5,-18,-9
trial 206,rider 1,path 3,32,2,-10.0,-16,-4
trial 206,rider 2,path 1,19,1,-18.0,-18,-18
trial 206,rider 2,path 2,17,1,-17.0,-17,-17
trial 206,rider 3,path 1,19,1,-18.0,-18,-18
trial 206,rider 3,path 2,52,5,-2.4,-22,17
trial 207,rider 1,path 1,27,1,-14.0,-14,-14
trial 207,rider 1,path 2,13,1,-21.0,-21,-21
trial 207,rider 2,path 1,29,1,-13.0,-13,-13
trial 207,rider 2,path 2,19,1,-18.0,-18,-18
trial 207,rider 3,path 1,31,1,-12.0,-12,-12
trial 207,rider 3,path 2,75,8,17.75,-11,47
trial 208,rider 1,path 1,30,2,-11.5,-16,-7
trial 208,rider 1,path 2,39,3,-11.0,-20,-1
trial 208,rider 2,path 1,23,1,-16.0,-16,-16
trial 208,rider 2,path 2,23,2,-16.5,-21,-12
trial 208,rider 3,path 1,19,1,-18.0,-18,-18
trial 208,rider 3,path 2,34,3,-9.666666666666666,-20,0
trial 208,rider 3,path 3,17,1,-17.0,-17,-17
trial 209,rider 1,path 1,21,1,-17.0,-17,-17
trial 209,rider 1,path 2,38,3,-3.3333333333333335,-8,-1
trial 209,rider 2,path 1,23,1,-16.0,-16,-16
trial 209,rider 2,path 2,23,1,-8.0,-8,-8
trial 209,rider 2,path 3,32,3,-5.0,-14,8
trial 209,rider 3,path 1,21,1,-17.0,-17,-17
trial 209,rider 3,path 2,34,3,-1.6666666666666667,-6,3
trial 210,rider 1,path 1,23,1,-16.0,-16,-16
trial 210,rider 1,path 2,46,5,-3.4,-20,12
trial 210,rider 2,path 1,21,1,-17.0,-17,-17
trial 210,rider 2,path 2,26,2,-13.0,-17,-9
trial 210,rider 3,path 1,23,1,-16.0,-16,-16
trial 210,rider 3,path 2,37,3,-9.0,-18,-1
trial 211,rider 1,path 1,19,1,-18.0,-18,-18
trial 211,rider 1,path 2,21,1,-17.0,-17,-17
trial 211,rider 1,path 3,28,2,-6.5,-11,-2
trial 211,rider 2,path 1,7,1,-24.0,-24,-24
trial 211,rider 2,path 2,27,2,-14.5,-20,-9
trial 211,rider 2,path 3,35,3,-6.333333333333333,-20,3
trial 211,rider 3,path 1,21,1,-17.0,-17,-17
trial 211,rider 3,path 2,17,1,-19.0,-19,-19
trial 211,rider 3,path 3,29,1,-13.0,-13,-13
trial 212,rider 1,path 1,35,4,-9.75,-22,4
trial 212,rider 1,path 2,31,2,-2.0,-8,4
trial 212,rider 2,path 1,17,1,-19.0,-19,-19
trial 212,rider 2,path 2,36,3,-7.333333333333333,-18,7
trial 212,rider 3,path 1,21,1,-17.0,-17,-17
trial 212,rider 3,path 2,36,2,3.0,-3,9
trial 213,rider 1,path 1,7,1,-24.0,-24,-24
trial 213,rider 1,path 2,26,2,-11.0,-17,-5
trial 213,rider 2,path 1,19,1,-18.0,-18,-18
trial 213,rider 2,path 2,25,1,-15.0,-15,-15
trial 213,rider 2,path 3,23,1,-16.0,-16,-16
trial 213,rider 3,path 1,11,1,-22.0,-22,-22
trial 213,rider 3,path 2,56,6,4.0,-22,27
trial 214,rider 1,path 1,28,2,-15.0,-21,-9
trial 214,rider 1,path 2,27,2,-14.0,-17,-11
trial 214,rider 2,path 1,28,2,-14.5,-18,-11
trial 214,rider 2,path 2,38,2,-6.5,-12,-1
trial 214,rider 3,path 1,21,1,-17.0,-17,-17
trial 214,rider 3,path 2,36,2,-7.5,-14,-1
trial 214,rider 3,path 3,30,2,-7.5,-16,1
trial 215,rider 1,path 1,13,1,-21.0,-21,-21
trial 215,rider 1,path 2,19,1,-18.0,-18,-18
trial 215,rider 1,path 3,36,2,-9.0,-16,-2
trial 215,rider 2,path 1,15,1,-20.0,-20,-20
trial 215,rider 2,path 2,42,4,-6.5,-19,3
trial 215,rider 3,path 1,15,1,-20.0,-20,-20
trial 215,rider 3,path 2,25,1,-14.0,-14,-14
trial 215,rider 3,path 3,13,1,-21.0,-21,-21
trial 215,rider 3,path 4,15,1,-12.0,-12,-12
trial 216,rider 1,path 1,21,1,-17.0,-17,-17
trial 216,rider 1,path 2,43,4,-6.0,-18,4
trial 216,rider 1,path 3,9,1,-9.0,-9,-9
trial 216,rider 2,path 1,23,1,-16.0,-16,-16
trial 216,rider 2,path 2,42,3,-8.333333333333334,-16,0
trial 216,rider 3,path 1,25,1,-15.0,-15,-15
trial 216,rider 3,path 2,29,2,-12.5,-16,-9
trial 217,rider 1,path 1,17,1,-19.0,-19,-19
trial 217,rider 1,path 2,30,3,-10.333333333333334,-13,-7
trial 217,rider 1,path 3,23,1,-8.0,-8,-8
trial 217,rider 2,path 1,19,1,-18.0,-18,-18
trial 217,rider 2,path 2,33,3,-8.666666666666666,-22,0
trial 217,rider 3,path 1,29,1,-13.0,-13,-13
trial 217,rider 3,path 2,30,3,-21.0,-29,-10
trial 218,rider 1,path 1,17,1,-19.0,-19,-19
trial 218,rider 1,path 2,48,5,-2.8,-14,12
trial 218,rider 2,path 1,21,1,-17.0,-17,-17
trial 218,rider 2,path 2,9,1,-21.0,-21,-21
trial 218,rider 2,path 3,17,1,-15.0,-15,-15
trial 218,rider 3,path 1,29,2,-12.0,-16,-8
trial 218,rider 3,path 2,13,1,-21.0,-21,-21
trial 218,rider 3,path 3,17,1,-19.0,-19,-19
trial 219,rider 1,path 1,7,1,-24.0,-24,-24
trial 219,rider 1,path 2,25,2,-15.0,-17,-13
trial 219,rider 2,path 1,13,1,-21.0,-21,-21
trial 219,rider 2,path 2,21,1,-17.0,-17,-17
trial 219,rider 2,path 3,17,1,-18.0,-18,-18
trial 219,rider 3,path 1,17,1,-19.0,-19,-19
trial 219,rider 3,path 2,23,1,-16.0,-16,-16
trial 219,rider 3,path 3,52,5,2.4,-14,17
trial 220,rider 1,path 1,19,1,-18.0,-18,-18
trial 220,rider 1,path 2,13,1,-21.0,-21,-21
trial 220,rider 1,path 3,29,3,-11.666666666666666,-16,-5
trial 220,rider 2,path 1,21,1,-17.0,-17,-17
trial 220,rider 2,path 2,17,1,-19.0,-19,-19
trial 220,rider 3,path 1,23,1,-16.0,-16,-16
trial 220,rider 3,path 2,55,5,5.0,-22,28
trial 221,rider 1,path 1,17,1,-19.0,-19,-19
trial 221,rider 1,path 2,19,1,-18.0,-18,-18
trial 221,rider 1,path 3,32,3,-9.666666666666666,-24,0
trial 221,rider 2,path 1,19,1,-18.0,-18,-18
trial 221,rider 2,path 2,27,1,-11.0,-11,-11
trial 221,rider 3,path 1,21,1,-17.0,-17,-17
trial 221,rider 3,path 2,28,2,-12.5,-17,-8
trial 221,rider 3,path 3,40,3,-2.6666666666666665,-14,11
trial 222,rider 1,path 1,24,2,-16.0,-19,-13
trial 222,rider 1,path 2,15,1,-13.0,-13,-13
trial 222,rider 1,path 3,20,2,-13.5,-15,-12
trial 222,rider 2,path 1,11,1,-22.0,-22,-22
trial 222,rider 2,path 2,27,2,-11.0,-17,-5
trial 222,rider 2,path 3,17,1,-19.0,-19,-19
trial 222,rider 3,path 1,13,1,-21.0,-21,-21
trial 222,rider 3,path 2,23,1,-16.0,-16,-16
trial 222,rider 3,path 3,28,2,-9.5,-15,-4
trial 223,rider 1,path 1,13,1,-21.0,-21,-21
trial 223,rider 1,path 2,19,1,-18.0,-18,-18
trial 223,rider 1,path 3,29,2,-8.0,-16,0
trial 223,rider 2,path 1,13,1,-21.0,-21,-21
trial 223,rider 2,path 2,23,1,-16.0,-16,-16
trial 223,rider 2,path 3,29,2,-3.5,-10,3
trial 223,rider 3,path 1,17,1,-19.0,-19,-19
trial 223,rider 3,path 2,23,1,-16.0,-16,-16
trial 223,rider 3,path 3,36,3,-1.6666666666666667,-11,11
trial 224,rider 1,path 1,49,4,-3.75,-18,12
trial 224,rider 2,path 1,19,1,-18.0,-18,-18
trial 224,rider 2,path 2,11,1,-22.0,-22,-22
trial 224,rider 2,path 3,44,4,-4.25,-22,12
trial 224,rider 3,path 1,21,1,-17.0,-17,-17
trial 224,rider 3,path 2,21,1,-17.0,-17,-17
trial 224,rider 3,path 3,13,1,-21.0,-21,-21
trial 225,rider 1,path 1,21,1,-17.0,-17,-17
trial 225,rider 1,path 2,48,5,2.2,-13,20
trial 225,rider 2,path 1,19,1,-18.0,-18,-18
trial 225,rider 2,path 2,40,4,-9.75,-24,4
trial 225,rider 3,path 1,23,1,-16.0,-16,-16
trial 225,rider 3,path 2,23,1,-16.0,-16,-16
trial 226,rider 1,path 1,13,1,-21.0,-21,-21
trial 226,rider 1,path 2,22,2,-13.0,-19,-7
trial 226,rider 1,path 3,27,2,-15.0,-21,-9
trial 226,rider 2,path 1,13,1,-21.0,-21,-21
trial 226,rider 2,path 2,27,1,-14.0,-14,-14
trial 226,rider 3,path 1,17,1,-19.0,-19,-19
trial 226,rider 3,path 2,22,2,-15.5,-19,-12
trial 226,rider 3,path 3,43,3,-1.0,-17,16
trial 227,rider 1,path 1,15,1,-20.0,-20,-20
trial 227,rider 1,path 2,29,3,-10.333333333333334,-19,-2
trial 227,rider 1,path 3,35,3,2.0,-3,9
trial 227,rider 2,path 1,23,1,-16.0,-16,-16
trial 227,rider 2,path 2,34,2,-11.5,-16,-7
trial 227,rider 3,path 1,19,1,-18.0,-18,-18
trial 227,rider 3,path 2,17,1,-19.0,-19,-19
trial 227,rider 3,path 3,23,1,-16.0,-16,-16
trial 228,rider 1,path 1,15,1,-20.0,-20,-20
trial 228,rider 1,path 2,35,3,-4.333333333333333,-17,3
trial 228,rider 2,path 1,27,2,-12.5,-17,-8
trial 228,rider 2,path 2,29,1,-13.0,-13,-13
trial 228,rider 3,path 1,23,1,-16.0,-16,-16
trial 228,rider 3,path 2,34,3,-7.0,-11,-2
trial 228,rider 3,path 3,28,2,-5.0,-15,5
trial 229,rider 1,path 1,9,1,-23.0,-23,-23
trial 229,rider 1,path 2,29,2,-11.5,-18,-5
trial 229,rider 1,path 3,29,2,-14.0,-19,-9
trial 229,rider 2,path 1,25,2,-15.5,-19,-12
trial 229,rider 2,path 2,34,3,-12.0,-20,-5
trial 229,rider 3,path 1,29,2,-14.5,-20,-9
trial 229,rider 3,path 2,25,1,-15.0,-15,-15
trial 230,rider 1,path 1,19,1,-18.0,-18,-18
trial 230,rider 1,path 2,41,3,-6.333333333333333,-14,-1
trial 230,rider 2,path 1,23,1,-16.0,-16,-16
trial 230,rider 2,path 2,11,1,-22.0,-22,-22
trial 230,rider 2,path 3,40,4,-9.25,-24,7
trial 230,rider 3,path 1,21,1,-17.0,-17,-17
trial 230,rider 3,path 2,25,1,-15.0,-15,-15
trial 230,rider 3,path 3,23,1,-13.0,-13,-13
trial 231,rider 1,path 1,13,1,-21.0,-21,-21
trial 231,rider 1,path 2,31,2,-13.5,-19,-8
trial 231,rider 1,path 3,34,4,-5.5,-15,5
trial 231,rider 2,path 1,17,1,-19.0,-19,-19
trial 231,rider 2,path 2,26,2,-11.5,-18,-5
trial 231,rider 3,path 1,25,1,-15.0,-15,-15
trial 231,rider 3,path 2,23,2,-14.5,-17,-12
trial 232,rider 1,path 1,17,1,-19.0,-19,-19
trial 232,rider 1,path 2,31,3,-11.0,-24,-1
trial 232,rider 1,path 3,29,2,-7.0,-20,6
trial 232,rider 3,path 1,27,1,-14.0,-14,-14
trial 232,rider 3,path 2,53,5,0.0,-19,15
trial 233,rider 1,path 1,29,2,-14.0,-21,-7
trial 233,rider 1,path 2,19,2,-10.5,-12,-9
trial 233,rider 2,path 1,35,3,-11.666666666666666,-22,-4
trial 233,rider 2,path 2,17,1,-17.0,-17,-17
trial 233,rider 3,path 1,23,1,-16.0,-16,-16
trial 233,rider 3,path 2,11,1,-15.0,-15,-15
trial 233,rider 3,path 3,15,1,-20.0,-20,-20
trial 233,rider 3,path 4,27,2,-10.5,-14,-7
trial 234,rider 1,path 1,27,2,-10.5,-17,-4
trial 234,rider 1,path 2,43,4,-4.0,-23,11
trial 234,rider 2,path 1,17,1,-19.0,-19,-19
trial 234,rider 2,path 2,42,4,-7.0,-15,6
trial 234,rider 3,path 1,19,1,-18.0,-18,-18
trial 234,rider 3,path 2,29,1,-13.0,-13,-13
trial 235,rider 1,path 1,36,3,-7.333333333333333,-14,4
trial 235,rider 2,path 1,23,1,-16.0,-16,-16
trial 235,rider 2,path 2,46,5,0.8,-23,17
trial 235,rider 3,path 1,41,3,-8.666666666666666,-21,3
trial 235,rider 3,path 2,25,1,-15.0,-15,-15
trial 236,rider 1,path 1,26,2,-12.5,-14,-11
trial 236,rider 2,path 1,35,2,-7.5,-14,-1
trial 236,rider 3,path 1,17,1,-19.0,-19,-19
trial 236,rider 3,path 2,25,2,-10.0,-11,-9
trial 236,rider 3,path 3,62,6,16.833333333333332,-11,45
trial 237,rider 1,path 1,32,2,-11.0,-14,-8
trial 237,rider 1,path 2,30,2,-7.0,-15,1
trial 237,rider 2,path 1,19,1,-18.0,-18,-18
trial 237,rider 2,path 2,45,5,-1.2,-22,14
trial 237,rider 3,path 1,23,1,-16.0,-16,-16
trial 237,rider 3,path 2,19,1,-18.0,-18,-18
trial 237,rider 3,path 3,27,1,-14.0,-14,-14
trial 238,rider 1,path 1,15,1,-20.0,-20,-20
trial 238,rider 1,path 2,34,2,-12.5,-19,-6
trial 238,rider 1,path 3,31,3,-6.333333333333333,-14,3
trial 238,rider 2,path 1,21,1,-17.0,-17,-17
trial 238,rider 2,path 2,21,1,-17.0,-17,-17
trial 238,rider 3,path 1,25,1,-15.0,-15,-15
trial 238,rider 3,path 2,35,4,-8.25,-21,-1
trial 239,rider 1,path 1,16,2,-19.5,-23,-16
trial 239,rider 1,path 2,28,3,-11.0,-22,-4
trial 239,rider 2,path 1,26,2,-13.5,-19,-8
trial 239,rider 2,path 2,29,2,-14.0,-19,-9
trial 239,rider 3,path 1,25,1,-15.0,-15,-15
trial 239,rider 3,path 2,20,2,-19.0,-24,-14
trial 239,rider 3,path 3,25,1,-12.0,-12,-12
trial 240,rider 1,path 1,7,1,-24.0,-24,-24
trial 240,rider 1,path 2,23,1,-16.0,-16,-16
trial 240,rider 1,path 3,43,4,1.75,-12,17
trial 240,rider 2,path 1,23,1,-16.0,-16,-16
trial 240,rider 2,path 2,23,1,-16.0,-16,-16
trial 240,rider 2,path 3,21,1,-6.0,-6,-6
trial 240,rider 3,path 1,17,1,-19.0,-19,-19
trial 240,rider 3,path 2,41,3,-7.333333333333333,-18,7
trial 241,rider 1,path 1,15,1,-20.0,-20,-20
trial 241,rider 1,path 2,34,3,-4.0,-16,11
trial 241,rider 1,path 3,33,2,1.5,-3,6
trial 241,rider 2,path 1,21,1,-17.0,-17,-17
trial 241,rider 2,path 2,33,2,-10.5,-13,-8
trial 241,rider 3,path 1,23,1,-16.0,-16,-16
trial 241,rider 3,path 2,36,3,-10.0,-18,-3
trial 242,rider 1,path 1,13,1,-21.0,-21,-21
trial 242,rider 1,path 2,27,2,-10.0,-11,-9
trial 242,rider 2,path 1,13,1,-20.0,-20,-20
trial 242,rider 2,path 2,34,3,-4.666666666666667,-9,-1
trial 242,rider 2,path 3,31,2,1.0,0,2
trial 242,rider 3,path 1,23,1,-16.0,-16,-16
trial 242,rider 3,path 2,33,3,-1.6666666666666667,-15,5
trial 243,rider 1,path 1,13,1,-21.0,-21,-21
trial 243,rider 1,path 2,29,2,-8.5,-12,-5
trial 243,rider 1,path 3,34,3,-4.333333333333333,-7,0
trial 243,rider 2,path 1,19,1,-18.0,-18,-18
trial 243,rider 2,path 2,30,2,-12.0,-17,-7
trial 243,rider 3,path 1,19,1,-18.0,-18,-18
trial 243,rider 3,path 2,23,1,-11.0,-11,-11
trial 243,rider 3,path 3,38,2,6.0,0,12
trial 244,rider 1,path 1,13,1,-21.0,-21,-21
trial 244,rider 1,path 2,33,3,-10.0,-17,-4
trial 244,rider 2,path 1,28,2,-13.0,-16,-10
trial 244,rider 2,path 2,42,4,-1.5,-16,10
trial 244,rider 3,path 1,27,1,-14.0,-14,-14
trial 244,rider 3,path 2,30,2,-11.5,-18,-5
trial 245,rider 1,path 1,36,3,-10.666666666666666,-21,-1
trial 245,rider 1,path 2,41,3,-4.333333333333333,-20,13
trial 245,rider 2,path 1,23,1,-16.0,-16,-16
trial 245,rider 2,path 2,35,2,1.0,-2,4
trial 245,rider 3,path 1,23,1,-16.0,-16,-16
trial 245,rider 3,path 2,34,2,-7.0,-7,-7
trial 245,rider 3,path 3,17,1,-7.0,-7,-7
trial 246,rider 1,path 1,15,1,-20.0,-20,-20
trial 246,rider 1,path 2,19,1,-18.0,-18,-18
trial 246,rider 1,path 3,29,2,-6.5,-9,-4
trial 246,rider 1,path 4,21,1,-2.0,-2,-2
trial 246,rider 2,path 1,25,1,-15.0,-15,-15
trial 246,rider 2,path 2,33,3,-8.333333333333334,-16,3
trial 246,rider 3,path 1,25,1,-15.0,-15,-15
trial 246,rider 3,path 2,11,1,-18.0,-18,-18
trial 246,rider 3,path 3,35,2,-9.0,-19,1
trial 247,rider 1,path 1,28,3,-15.333333333333334,-23,-6
trial 247,rider 1,path 2,23,1,-14.0,-14,-14
trial 247,rider 2,path 1,23,1,-16.0,-16,-16
trial 247,rider 2,path 2,29,1,-7.0,-7,-7
trial 247,rider 2,path 3,35,3,-3.0,-10,3
trial 247,rider 3,path 1,27,1,-14.0,-14,-14
trial 247,rider 3,path 2,17,1,-19.0,-19,-19
trial 247,rider 3,path 3,32,2,-10.0,-13,-7
trial 248,rider 1,path 1,59,7,6.428571428571429,-14,36
trial 248,rider 2,path 1,23,1,-16.0,-16,-16
trial 248,rider 2,path 2,27,1,-14.0,-14,-14
trial 248,rider 2,path 3,13,1,-20.0,-20,-20
trial 248,rider 3,path 1,27,1,-14.0,-14,-14
trial 248,rider 3,path 2,34,2,-9.0,-16,-2
trial 249,rider 1,path 1,15,1,-20.0,-20,-20
trial 249,rider 1,path 2,48,4,0.0,-22,15
trial 249,rider 2,path 1,19,1,-18.0,-18,-18
trial 249,rider 2,path 2,21,1,-17.0,-17,-17
trial 249,rider 2,path 3,44,3,-1.0,-10,5
trial 249,rider 3,path 1,23,1,-16.0,-16,-16
trial 249,rider 3,path 2,31,2,-12.5,-18,-7
trial 250,rider 1,path 1,11,1,-21.0,-21,-21
trial 250,rider 1,path 2,23,1,-16.0,-16,-16
trial 250,rider 1,path 3,19,1,-15.0,-15,-15
trial 250,rider 2,path 1,63,7,5.714285714285714,-20,28
trial 250,rider 3,path 1,17,2,-22.5,-26,-19
trial 250,rider 3,path 2,27,1,-14.0,-14,-14
trial 251,rider 1,path 1,22,2,-15.0,-17,-13
